image_name,candidate_pixels,target_leakage_pixels,target_protect_pixels,boundary_protect_pixels,ohem_negative_pixels,ohem_overlap_pixels,ohem_overlap_fraction,far_hard_logit_mean,far_hard_prob_mean
000688,322,0,43,204,654,322,1.0,-11.20821762084961,1.8217042452306487e-05
001056,322,0,74,234,654,322,1.0,-11.112039566040039,1.713517849566415e-05
000430,320,0,112,321,654,320,1.0,-11.829005241394043,9.151671292784158e-06
000900,323,0,55,203,654,323,1.0,-11.291101455688477,1.6817706637084484e-05
000471,322,0,83,239,654,322,1.0,-11.31673812866211,1.9869172319886275e-05
000833,325,0,20,90,655,285,0.8769230769230769,-13.029309272766113,2.6180468921666034e-06
000171,324,0,23,102,655,324,1.0,-10.225069999694824,4.4003973016515374e-05
000567,323,0,55,181,654,323,1.0,-9.523404121398926,0.0001904471282614395
001043,323,0,63,217,654,323,1.0,-11.769708633422852,1.0360658961872105e-05
000798,322,0,28,170,655,322,1.0,-13.653878211975098,1.5022438901723945e-06
001085,323,0,50,182,654,323,1.0,-10.61457633972168,4.2368770664324984e-05
000895,323,0,45,179,654,323,1.0,-12.210057258605957,6.738088359270478e-06
001121,323,0,18,144,655,323,1.0,-13.725920677185059,1.2625177987501957e-06
000979,323,0,51,196,654,323,1.0,-10.036317825317383,6.936068530194461e-05
000363,325,0,5,72,655,318,0.9784615384615385,-12.601273536682129,6.301970643107779e-06
000311,323,0,52,183,654,323,1.0,-12.142742156982422,8.254938620666508e-06
000229,321,0,72,228,654,321,1.0,-11.393719673156738,1.2758689081238117e-05
000234,323,0,58,167,654,323,1.0,-11.295357704162598,1.8546894352766685e-05
001073,322,0,86,262,654,322,1.0,-11.193367004394531,1.623869320610538e-05
000716,322,0,54,210,654,322,1.0,-10.768274307250977,2.7055404643760994e-05
001005,323,0,38,190,654,323,1.0,-12.764941215515137,3.1302486149797915e-06
001119,325,0,9,72,655,318,0.9784615384615385,-12.827953338623047,3.49428114532202e-06
001327,324,0,33,132,655,324,1.0,-11.287628173828125,2.475195287843235e-05
000754,325,0,13,90,655,325,1.0,-11.752662658691406,9.115291504713241e-06
000245,323,0,65,192,654,323,1.0,-11.94157886505127,8.326900569954887e-06
000780,325,0,14,90,655,257,0.7907692307692308,-14.242443084716797,7.237916861413396e-07
000277,322,0,98,233,654,322,1.0,-11.204821586608887,1.6222060366999358e-05
001052,323,0,61,199,654,323,1.0,-10.178512573242188,5.860074088559486e-05
000856,325,0,22,96,655,325,1.0,-10.346433639526367,4.106968845007941e-05
000871,322,0,76,246,654,322,1.0,-11.876715660095215,8.607331437815446e-06
000531,325,0,20,90,655,325,1.0,-10.745457649230957,3.734259007615037e-05
000472,323,0,71,194,654,323,1.0,-9.874995231628418,0.00014199512952473015
000083,325,0,9,72,655,319,0.9815384615384616,-13.668978691101074,1.8809251969287288e-06
000274,324,0,71,194,654,324,1.0,-10.640581130981445,2.9968448870931752e-05
000147,322,0,40,180,654,322,1.0,-12.324210166931152,5.685243650077609e-06
000096,322,0,30,174,655,322,1.0,-11.580499649047852,1.7806105461204425e-05
000152,322,0,40,180,654,322,1.0,-11.265274047851562,1.8300155716133304e-05
001158,321,0,27,216,655,240,0.7476635514018691,-13.9967622756958,1.1357308267179178e-06
000453,319,0,125,353,654,319,1.0,-10.08123779296875,7.313647074624896e-05
000057,325,0,9,72,655,106,0.3261538461538461,-14.805392265319824,6.358587825161521e-07
000411,325,0,14,90,655,325,1.0,-11.550725936889648,1.2572837476909626e-05
000388,325,0,5,72,655,325,1.0,-13.022366523742676,4.802660896530142e-06
000082,325,0,9,72,655,230,0.7076923076923077,-13.481819152832031,6.141059202491306e-06
000655,322,0,36,192,655,322,1.0,-11.72429084777832,1.242443613591604e-05
000962,323,0,51,189,654,323,1.0,-12.071650505065918,7.1895447035785764e-06
001086,324,0,60,205,654,324,1.0,-9.779265403747559,9.292783215641975e-05
000539,325,0,21,96,655,325,1.0,-10.604341506958008,3.338395254104398e-05
000381,325,0,5,72,655,325,1.0,-12.595117568969727,4.842530870519113e-06
000527,325,0,17,96,655,325,1.0,-11.129759788513184,1.8045742763206363e-05
000309,323,0,69,192,654,323,1.0,-11.496071815490723,1.8652508515515365e-05
000065,325,0,9,72,655,325,1.0,-12.23159408569336,7.774540790705942e-06
000418,322,0,32,180,655,322,1.0,-11.257667541503906,1.851378874562215e-05
000306,322,0,83,239,654,322,1.0,-11.247588157653809,3.575836308300495e-05
000469,323,0,65,174,654,323,1.0,-11.183571815490723,2.2692733182338998e-05
000088,325,0,9,72,655,171,0.5261538461538462,-14.227513313293457,1.4526999621011782e-06
001007,323,0,64,207,654,323,1.0,-11.545560836791992,1.2399937077134382e-05
000690,324,0,22,102,655,324,1.0,-11.690126419067383,1.1289247595414054e-05
000686,322,0,42,216,654,322,1.0,-11.815088272094727,1.0643907444318756e-05
000428,322,0,98,233,654,322,1.0,-11.68929672241211,1.2430969945853576e-05
000605,324,0,14,105,655,324,1.0,-12.256481170654297,1.5638219338143244e-05
001067,322,0,78,256,654,322,1.0,-11.155938148498535,1.7753765860106796e-05
001025,323,0,44,197,654,323,1.0,-10.132075309753418,6.34421085123904e-05
001245,325,0,9,72,655,198,0.6092307692307692,-13.404119491577148,1.624384026399639e-06
001045,322,0,79,225,654,322,1.0,-12.134689331054688,6.511274023068836e-06
000767,322,0,26,174,655,322,1.0,-13.417413711547852,2.055975301118451e-06
000728,321,0,58,216,654,276,0.8598130841121495,-12.965977668762207,3.7441654967551585e-06
001065,323,0,67,205,654,323,1.0,-11.577167510986328,1.1421208910178393e-05
000540,325,0,18,90,655,325,1.0,-11.5455322265625,1.3217259947850835e-05
000658,322,0,38,192,654,322,1.0,-10.975943565368652,0.0003432200464885682
000549,323,0,54,161,654,323,1.0,-6.8400959968566895,0.007593443151563406
000522,318,0,163,407,653,318,1.0,-9.679606437683105,9.534553100820631e-05
000978,323,0,68,217,654,323,1.0,-10.455055236816406,4.3790932977572083e-05
000317,322,0,83,239,654,322,1.0,-11.948145866394043,8.566959877498448e-06
000117,322,0,34,192,655,300,0.9316770186335404,-12.59858226776123,6.442254743888043e-06
000184,322,0,52,204,654,310,0.9627329192546584,-12.679960250854492,7.00908685757895e-06
000631,325,0,15,84,655,325,1.0,-11.281682968139648,1.9375056581338868e-05
000459,323,0,72,213,654,323,1.0,-11.555256843566895,3.2266219932353124e-05
000804,322,0,32,186,655,322,1.0,-12.682574272155762,3.7560478176601464e-06
000819,322,0,36,186,655,217,0.6739130434782609,-13.226435661315918,2.194259423049516e-06
001048,323,0,32,184,655,323,1.0,-11.96599006652832,8.283723218482919e-06
000271,323,0,58,182,654,323,1.0,-11.186948776245117,1.5836685633985326e-05
000358,323,0,10,144,655,323,1.0,-13.267134666442871,2.3667955701967003e-06
000670,325,0,20,90,655,325,1.0,-12.082298278808594,9.264985237678047e-06
000145,325,0,20,88,655,325,1.0,-13.63733196258545,1.7660673847785802e-06
000118,322,0,34,180,655,322,1.0,-11.412188529968262,1.2253430213604588e-05
000239,319,0,138,391,653,319,1.0,-11.01339340209961,3.522516999510117e-05
000126,325,0,18,90,655,325,1.0,-10.91328239440918,2.0622286683646962e-05
000115,322,0,33,186,655,305,0.9472049689440993,-12.670650482177734,7.143003585952101e-06
001171,325,0,9,72,655,279,0.8584615384615385,-13.0112886428833,2.6645150228432612e-06
000497,319,0,129,361,654,319,1.0,-11.859813690185547,1.584659366926644e-05
000847,322,0,42,204,654,322,1.0,-13.853752136230469,1.2110147054045228e-06
000462,323,0,72,213,654,323,1.0,-10.117624282836914,8.925973816076294e-05
000604,324,0,14,105,655,324,1.0,-11.333221435546875,1.815531140891835e-05
000223,324,0,34,150,655,300,0.9259259259259259,-12.93785572052002,2.739842784649227e-06
000810,322,0,34,186,655,292,0.906832298136646,-12.855224609375,4.6042036956350785e-06
000938,322,0,84,224,654,322,1.0,-10.221104621887207,5.5070515372790396e-05
000460,323,0,58,180,654,323,1.0,-7.03350830078125,0.0022639925591647625
001001,324,0,28,162,655,324,1.0,-9.655563354492188,8.139525743899867e-05
001108,325,0,9,72,655,325,1.0,-11.428954124450684,2.8024891435052268e-05
000826,322,0,38,186,654,316,0.9813664596273292,-13.135472297668457,3.407617441553157e-06
001252,323,0,56,160,654,323,1.0,-11.677698135375977,1.9101791622233577e-05
000981,323,0,66,219,654,323,1.0,-10.977767944335938,2.7518331989995204e-05
000429,320,0,112,320,654,320,1.0,-11.730752944946289,1.5261632142937742e-05
001277,323,0,65,192,654,323,1.0,-7.991400241851807,0.0005450730095617473
001080,323,0,72,232,654,323,1.0,-12.011025428771973,7.013689810264623e-06
000707,322,0,50,198,654,322,1.0,-11.632637977600098,1.3273926924739499e-05
000221,321,0,68,240,654,276,0.8598130841121495,-13.05232048034668,2.5784893296076916e-06
000265,323,0,56,160,654,316,0.978328173374613,-12.594904899597168,4.7917965275701135e-06
000672,322,0,40,186,654,322,1.0,-12.448707580566406,6.326344191620592e-06
000752,323,0,18,144,655,316,0.978328173374613,-12.761781692504883,4.608815288520418e-06
000481,318,0,160,419,653,318,1.0,-12.498503684997559,6.0914585446880665e-06
000384,318,0,20,288,655,318,1.0,-12.999560356140137,5.487228463607607e-06
000236,323,0,62,186,654,323,1.0,-10.77343463897705,3.210365684935823e-05
000125,323,0,36,180,655,323,1.0,-11.91486930847168,1.0227763596049044e-05
000892,323,0,44,197,654,323,1.0,-11.794332504272461,9.08930269361008e-06
000238,322,0,83,239,654,322,1.0,-12.233805656433105,8.358951163245365e-06
000639,325,0,16,90,655,325,1.0,-10.335006713867188,4.6338853280758485e-05
000914,323,0,50,182,654,323,1.0,-11.889790534973145,9.103654520004056e-06
000432,319,0,130,374,654,319,1.0,-11.230415344238281,2.4526008928660303e-05
000489,319,0,123,356,654,319,1.0,-10.01868724822998,9.725496784085408e-05
000513,318,0,163,425,653,318,1.0,-10.178330421447754,8.647752838442102e-05
000114,325,0,16,90,655,325,1.0,-11.697613716125488,1.334768512606388e-05
000719,322,0,56,216,654,253,0.7857142857142857,-13.217588424682617,2.868385990950628e-06
000643,323,0,32,180,655,323,1.0,-11.705060005187988,1.0175007446378004e-05
000994,323,0,27,190,655,323,1.0,-10.682795524597168,2.8593309252755716e-05
000712,322,0,53,205,654,322,1.0,-10.471334457397461,3.4390184737276286e-05
000242,319,0,134,399,654,319,1.0,-10.577028274536133,5.022536788601428e-05
001207,323,0,18,144,655,323,1.0,-13.557154655456543,2.2665585674985778e-06
000201,321,0,58,216,654,321,1.0,-12.3355712890625,5.751653134211665e-06
001312,323,0,56,160,654,323,1.0,-9.26096248626709,0.00023522689298260957
000524,325,0,20,90,655,325,1.0,-11.596911430358887,1.060725571733201e-05
000198,322,0,56,204,654,308,0.9565217391304348,-13.732820510864258,1.3201911315263715e-06
000543,324,0,20,102,655,324,1.0,-12.072935104370117,7.1859153649711516e-06
000028,325,0,9,72,655,325,1.0,-11.804718017578125,1.0164334526052698e-05
001323,323,0,55,168,654,323,1.0,-9.14281940460205,0.00040852869278751314
000331,318,0,20,288,655,296,0.9308176100628931,-12.948039054870605,3.5321015730005456e-06
000222,324,0,34,108,655,241,0.7438271604938271,-13.278911590576172,1.9622671061370056e-06
000869,323,0,64,205,654,323,1.0,-12.108380317687988,6.85774466546718e-06
000692,322,0,44,198,654,306,0.9503105590062112,-12.52891731262207,7.406867098325165e-06
000842,325,0,20,90,655,325,1.0,-12.18587589263916,1.5170763617788907e-05
000795,323,0,30,141,655,293,0.9071207430340558,-13.098136901855469,2.2960630303714424e-06
001078,323,0,60,208,654,323,1.0,-11.754796028137207,8.273542334791273e-06
000896,324,0,26,166,655,324,1.0,-11.379584312438965,1.791154863894917e-05
000052,325,0,9,72,655,325,1.0,-13.615010261535645,1.7262527762795798e-06
001256,323,0,56,160,654,323,1.0,-9.78915786743164,0.00016386600327678025
000292,319,0,117,348,654,319,1.0,-12.424572944641113,5.076449269836303e-06
000070,325,0,9,72,655,325,1.0,-10.57204818725586,3.418940104893409e-05
000443,324,0,65,174,654,324,1.0,-11.027695655822754,2.8573274903465062e-05
000343,325,0,5,72,655,299,0.92,-12.847846031188965,4.072723641002085e-06
000504,321,0,116,347,654,321,1.0,-9.029894828796387,0.000180483577423729
000203,321,0,58,216,654,319,0.9937694704049844,-12.803552627563477,3.4029053495032713e-06
000204,321,0,60,228,654,276,0.8598130841121495,-13.087336540222168,2.492736030035303e-06
000943,322,0,78,264,654,322,1.0,-10.330416679382324,5.0634793296922e-05
000886,323,0,55,202,654,323,1.0,-11.583282470703125,1.0044991540780757e-05
000337,325,0,5,72,655,300,0.9230769230769231,-12.822644233703613,3.989880497101694e-06
000146,322,0,40,180,654,322,1.0,-10.55018138885498,3.366789678693749e-05
000778,322,0,28,180,655,322,1.0,-12.461335182189941,5.668794528901344e-06
001051,323,0,61,199,654,323,1.0,-11.21066951751709,2.0139790649409406e-05
000121,322,0,36,192,655,322,1.0,-10.883841514587402,2.4184024368878454e-05
000196,324,0,28,102,655,238,0.7345679012345679,-14.253957748413086,7.488536652999755e-07
000647,323,0,34,186,655,280,0.8668730650154799,-13.4938383102417,1.6007927570171887e-06
001182,326,0,9,72,655,326,1.0,-13.318886756896973,2.3367472294921754e-06
000972,323,0,38,183,654,323,1.0,-9.843249320983887,6.717364158248529e-05
000750,325,0,9,72,655,325,1.0,-11.670074462890625,1.5538704246864654e-05
000568,323,0,58,180,654,323,1.0,-8.857748031616211,0.0008002984686754644
000585,323,0,65,192,654,323,1.0,-8.272149085998535,0.0009492773679085076
000925,324,0,61,199,654,324,1.0,-11.254430770874023,1.8713806639425457e-05
001295,325,0,19,96,655,325,1.0,1.3732354640960693,0.5348451733589172
000280,323,0,58,167,654,323,1.0,-11.992227554321289,1.0016729902417865e-05
000741,321,0,64,222,654,321,1.0,-12.079934120178223,7.277244094439084e-06
000360,326,0,5,65,655,326,1.0,-12.178386688232422,8.41565997689031e-06
000969,323,0,63,217,654,323,1.0,-9.79153060913086,6.994865543674678e-05
000042,325,0,9,72,655,279,0.8584615384615385,-13.794302940368652,2.0631839561247034e-06
000087,325,0,9,72,655,296,0.9107692307692308,-12.875921249389648,4.393292329041287e-06
000975,323,0,40,186,654,323,1.0,-10.953116416931152,2.7123705876874737e-05
000877,324,0,28,162,655,315,0.9722222222222222,-12.236437797546387,7.000431196502177e-06
000942,323,0,32,188,655,323,1.0,-11.217485427856445,1.788259032764472e-05
000998,323,0,53,192,654,323,1.0,-11.472003936767578,1.4867587196931709e-05
000356,325,0,5,72,655,321,0.9876923076923076,-12.990445137023926,3.2915697829594137e-06
000697,322,0,46,210,654,322,1.0,-10.464585304260254,3.1333220249507576e-05
000403,325,0,13,90,655,325,1.0,-11.733057022094727,9.401992429047823e-06
000208,324,0,31,114,655,324,1.0,-11.76609992980957,1.030141174851451e-05
000514,323,0,71,194,654,323,1.0,-5.880983352661133,0.1226859763264656
000401,323,0,27,164,655,323,1.0,-12.679122924804688,4.961488230037503e-06
000248,323,0,60,181,654,323,1.0,-12.011756896972656,8.126488864945713e-06
000758,322,0,26,168,655,322,1.0,-11.346512794494629,1.866269485617522e-05
001192,325,0,9,72,655,120,0.36923076923076925,-14.518503189086914,6.255857556425326e-07
001282,324,0,19,108,655,324,1.0,-8.688278198242188,0.0014190772781148553
000876,323,0,58,186,654,323,1.0,-12.198092460632324,5.602883902611211e-06
000764,323,0,28,153,655,323,1.0,-11.938345909118652,1.3553874850913417e-05
000445,323,0,61,182,654,323,1.0,-12.168586730957031,7.798436854500324e-06
000865,325,0,24,93,655,325,1.0,-12.194119453430176,9.45502870308701e-06
000564,322,0,98,233,654,322,1.0,-8.541616439819336,0.0005356129258871078
000149,322,0,40,186,654,322,1.0,-11.076045036315918,2.611424497445114e-05
000584,323,0,55,181,654,323,1.0,-10.379899978637695,4.3954813008895144e-05
001019,324,0,38,176,654,324,1.0,-9.593409538269043,0.000122729703434743
001017,322,0,74,234,654,322,1.0,-10.98381519317627,3.5761371691478416e-05
000308,322,0,83,239,654,322,1.0,-11.58449935913086,1.347411216556793e-05
001318,324,0,39,140,654,324,1.0,-9.739819526672363,0.0008070397307164967
000018,325,0,9,72,655,89,0.27384615384615385,-14.78210163116455,4.672644138281612e-07
000056,325,0,9,72,655,193,0.5938461538461538,-13.984957695007324,2.4010644210648024e-06
000232,323,0,56,161,654,323,1.0,-12.550138473510742,5.071532996225869e-06
000777,322,0,28,168,655,322,1.0,-13.21157455444336,2.6870841338677565e-06
000328,325,0,5,72,655,299,0.92,-12.921984672546387,3.250460849812953e-06
001217,323,0,18,144,655,89,0.2755417956656347,-14.866316795349121,1.3766924666924751e-06
001219,323,0,18,144,655,189,0.5851393188854489,-14.191941261291504,1.1672532309603412e-06
000577,323,0,65,174,654,323,1.0,-9.89885139465332,6.623861554544419e-05
000383,325,0,5,72,655,325,1.0,-12.688518524169922,4.554026872938266e-06
001276,323,0,58,180,654,323,1.0,-12.070698738098145,7.4260306064388715e-06
000929,323,0,44,199,654,323,1.0,-10.801226615905762,3.8115842471597716e-05
000354,325,0,5,72,655,307,0.9446153846153846,-12.776860237121582,4.223239102429943e-06
000029,325,0,9,72,655,325,1.0,-11.637765884399414,1.0398070116934832e-05
001118,325,0,9,72,655,280,0.8615384615384616,-13.016557693481445,3.0509440875903238e-06
000006,325,0,9,72,655,325,1.0,-10.83899974822998,3.4543798392405733e-05
000105,322,0,28,170,655,322,1.0,-11.298406600952148,1.7362170183332637e-05
000486,323,0,80,211,654,323,1.0,-12.566239356994629,4.686286956712138e-06
000074,325,0,9,72,655,325,1.0,-12.052457809448242,9.98974974208977e-06
000275,322,0,83,239,654,322,1.0,-10.8591947555542,2.548054362705443e-05
001189,325,0,9,72,655,325,1.0,-13.51401138305664,2.1250443751341663e-06
000612,324,0,15,109,655,324,1.0,-10.801902770996094,3.9007474697427824e-05
000008,321,0,27,216,655,321,1.0,-11.299128532409668,1.8709384676185437e-05
001093,323,0,55,203,654,323,1.0,-11.047797203063965,2.0761919586220756e-05
000034,325,0,9,72,655,325,1.0,-11.239741325378418,1.6517111362190917e-05
000949,324,0,40,161,654,324,1.0,-12.01765251159668,9.976673936762381e-06
000039,326,0,9,72,655,326,1.0,-11.000822067260742,1.8681819710764103e-05
001138,323,0,18,144,655,323,1.0,-13.915159225463867,9.969253369490616e-07
000677,322,0,40,186,654,322,1.0,-11.845458030700684,1.1121732313768007e-05
001198,321,0,27,216,655,321,1.0,-12.104279518127441,9.062499884748831e-06
000696,322,0,46,210,654,322,1.0,-11.590290069580078,1.5602239727741107e-05
001230,321,0,27,216,655,240,0.7476635514018691,-14.183438301086426,8.163269740180112e-07
000590,323,0,80,211,654,323,1.0,-10.709641456604004,4.027098839287646e-05
001243,325,0,18,99,655,325,1.0,-12.904257774353027,2.8701472274406115e-06
000323,320,0,124,352,654,320,1.0,-12.059325218200684,8.07993365015136e-06
001032,322,0,88,270,654,322,1.0,-12.245162010192871,6.508531896542991e-06
000488,324,0,46,154,654,324,1.0,-11.640687942504883,1.2086836250091437e-05
